@relation MarketData

@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute class {HOLD,BUY,SELL}

@data
-0.487343,-0.535201,-0.426704,-0.477624,-0.472625,HOLD
-0.47585,-0.41585,-0.404156,-0.373204,-0.036408,HOLD
-0.372419,-0.393246,-0.31223,-0.333382,-0.320505,HOLD
-0.331753,-0.387821,-0.281876,-0.326303,-0.882448,HOLD
-0.322029,-0.387821,-0.279275,-0.343116,-0.795621,HOLD
-0.340594,-0.35527,-0.267133,-0.30418,-0.605297,HOLD
-0.301696,-0.31187,-0.251523,-0.277632,-0.207283,HOLD
-0.276059,-0.24677,-0.279275,-0.226307,-0.138516,HOLD
-0.223901,-0.269374,-0.187348,-0.220998,-0.491033,HOLD
-0.218597,-0.13646,-0.154393,-0.079411,-0.638291,HOLD
-0.077152,-0.12561,-0.069404,-0.129851,-1.014077,HOLD
-0.127542,-0.116569,-0.069404,-0.069677,-0.492422,HOLD
-0.066544,0.34456,-0.00783,0.361278,2.528804,HOLD
0.364864,0.404235,0.344267,0.39225,2.655571,HOLD
0.393153,0.380726,0.304374,0.407294,1.300378,HOLD
0.409949,0.501886,0.466547,0.506405,0.38696,HOLD
0.505425,0.547094,0.542864,0.524103,-0.293068,HOLD
0.525757,0.581453,0.575818,0.639143,-0.628566,HOLD
0.64245,0.577836,0.65387,0.609055,-0.591057,HOLD
0.613277,0.547998,0.586225,0.55419,-0.535141,HOLD
0.556699,0.54619,0.601836,0.582508,-0.71713,HOLD
0.573495,0.541669,0.633056,0.578968,-1.018592,HOLD
0.577915,0.551615,0.613977,0.593127,-1.208917,HOLD
0.591176,0.573315,0.655604,0.628524,-0.942532,HOLD
0.630957,0.570603,0.606172,0.581623,-0.191654,HOLD
0.584988,0.547998,0.600101,0.563925,-0.304529,HOLD
0.566423,0.528107,0.617446,0.586048,-0.587237,HOLD
0.591176,0.543478,0.633056,0.567464,-0.739357,HOLD
0.570843,0.521777,0.608773,0.571889,-0.577165,HOLD
0.573495,0.573315,0.631321,0.60817,-0.541045,HOLD
0.610625,0.630278,0.629587,0.566579,-0.079126,HOLD
0.567307,0.530819,0.488228,0.458619,-0.166995,HOLD
0.464759,0.416893,0.412778,0.382516,-0.457344,HOLD
0.384312,0.514544,0.443132,0.569234,-0.534446,HOLD
0.569959,0.512736,0.491697,0.486937,-0.413931,HOLD
0.48686,0.42051,0.402372,0.414373,-0.057941,HOLD
0.416138,0.44221,0.322586,0.266592,0.116408,HOLD
0.265852,0.368972,0.2931,0.384286,0.496014,HOLD
0.38608,0.433168,0.445733,0.390481,0.782196,HOLD
0.391385,0.53534,0.447468,0.517024,0.245259,HOLD
0.518685,0.57874,0.565412,0.627639,-0.692818,HOLD
0.628305,0.585069,0.600968,0.574544,-0.636902,HOLD
0.577031,0.579644,0.629587,0.639143,-0.737968,HOLD
0.637145,0.591399,0.671214,0.624984,-0.759849,HOLD
0.625653,0.570603,0.598367,0.540032,-0.926209,HOLD
0.557583,0.555232,0.45614,0.601091,-1.179048,HOLD
0.604436,0.642937,0.593163,0.661266,-0.958508,HOLD
0.663666,0.675487,0.714576,0.732944,-1.019634,HOLD
0.734389,0.709845,0.67555,0.634718,-0.413931,HOLD
0.640682,0.633895,0.639127,0.674539,-0.585848,HOLD
0.676043,0.651074,0.726717,0.66392,-0.528195,HOLD
0.665434,0.610386,0.487361,0.430302,-0.201726,HOLD
0.431166,0.406947,0.379824,0.355969,-0.364266,HOLD
0.358676,0.317434,0.240199,0.227656,-0.154145,HOLD
0.232259,0.384343,0.272286,0.448,0.226504,HOLD
